date,lid,htid,atid,corn_h,corn_a,h_n,corn_f_h,corn_a_h,sot_f_h,ibox_f_h,xg_f_h,poss_f_h,a_n,corn_f_a,corn_a_a,sot_f_a,ibox_f_a,xg_f_a,poss_f_a,lg_n,lg_corn,lg_xg
2024-01-26T19:45:00+00:00,44,34,15,6.0,1.0,0.8960596419119524,7.0,0.0,6.000000000000001,10.0,0.0,0.0,0.9493421209505192,11.0,10.0,8.0,19.0,0.0,0.0,29.008432436049713,10.893509938459792,0.0
2024-01-26T19:45:00+00:00,44,42,24,7.0,7.0,0.0,,,,,,,0.0,,,,,,,30.008432436049713,10.763762743341982,0.0
2024-01-26T20:00:00+00:00,44,5,20,2.0,14.0,0.8960596419119524,11.0,0.0,7.0,9.0,0.0,0.0,0.0,,,,,,,31.008432436049713,10.868129104438507,0.0
2024-01-26T20:00:00+00:00,112,3416,3417,2.0,7.0,0.0,,,,,,,0.0,,,,,,,,,
2024-01-26T23:10:00+00:00,32,638,626,2.0,5.0,0.9659363289248456,8.0,4.0,3.0,12.0,0.0,0.0,0.0,,,,,,,11.704158714517648,9.415652022748022,0.0
2024-01-27T00:00:00+00:00,112,3418,3419,12.0,2.0,0.0,,,,,,,0.0,,,,,,,0.9942404238175473,9.0,0.0
2024-01-27T12:30:00+00:00,44,9,1784,11.0,0.0,0.0,,,,,,,0.0,,,,,,,31.8240774309534,11.028457821123228,0.0
2024-01-27T15:00:00+00:00,44,13,44,4.0,7.0,0.8908987181403393,11.0,2.0,6.0,10.0,0.0,0.0,0.0,,,,,,,32.824077430953395,11.027590841047914,0.0
2024-01-27T15:00:00+00:00,44,21,45,5.0,8.0,0.0,,,,,,,0.0,,,,,,,33.824077430953395,11.026775125050804,0.0
2024-01-27T15:00:00+00:00,44,27,14,9.0,3.0,0.0,,,,,,,0.8857675191023606,8.0,2.0,7.0,11.0,0.0,0.0,34.824077430953395,11.08343778550065,0.0
2024-01-27T15:00:00+00:00,44,23,43,6.0,6.0,0.0,,,,,,,0.0,,,,,,,35.824077430953395,11.109022874642607,0.0
2024-01-27T19:00:00+00:00,44,8,4,10.0,5.0,0.0,,,,,,,0.8857675191023606,5.0,0.0,4.0,8.0,0.0,0.0,36.824077430953395,11.133218378984244,0.0
2024-01-27T20:00:00+00:00,112,3420,3421,5.0,7.0,0.0,,,,,,,0.0,,,,,,,1.9942404238175473,11.507220263055629,0.0
2024-01-27T21:00:00+00:00,32,639,637,3.0,3.0,0.0,,,,,,,0.9715319411536059,3.0,9.0,2.0,4.0,0.0,0.0,12.630988144567413,9.225505467038865,0.0
2024-01-27T22:30:00+00:00,112,3422,3423,3.0,0.0,0.0,,,,,,,0.0,,,,,,,2.9942404238175473,11.67179613779988,0.0
2024-01-27T23:10:00+00:00,32,621,636,10.0,3.0,0.9715319411536059,9.0,3.0,6.0,16.0,0.0,0.0,0.0,,,,,,,13.630988144567413,8.988875119126458,0.0
2024-01-28T01:00:00+00:00,112,3424,3425,4.0,3.0,0.0,,,,,,,0.0,,,,,,,3.971235291805538,9.500720985165053,0.0
2024-01-28T01:20:00+00:00,32,631,622,3.0,6.0,0.9548416039104165,7.0,4.0,5.0,9.0,0.0,0.0,0.0,,,,,,,14.546719853724214,9.263027817579905,0.0
2024-01-28T11:45:00+00:00,44,38,12,8.0,7.0,0.0,,,,,,,0.8755936114058852,7.0,4.0,1.0,4.0,0.0,0.0,37.60622677545883,11.235449071274742,0.0
2024-01-28T14:00:00+00:00,44,32,10,6.0,6.0,0.0,,,,,,,0.0,,,,,,,38.60622677545883,11.33296056729896,0.0
2024-01-28T14:30:00+00:00,44,1,41,13.0,2.0,0.0,,,,,,,0.0,,,,,,,39.60622677545883,11.349802349185499,0.0
2024-01-28T16:30:00+00:00,44,87,7,3.0,5.0,0.0,,,,,,,0.8908987181403393,12.0,2.0,14.0,20.0,0.0,0.0,40.60622677545883,11.43969490854589,0.0
2024-01-28T19:30:00+00:00,112,3426,3427,3.0,0.0,0.0,,,,,,,0.0,,,,,,,4.971235291805538,8.99768283903522,0.0
2024-01-28T21:00:00+00:00,32,625,632,2.0,4.0,0.9603729450510042,6.0,2.0,3.0,3.0,0.0,0.0,0.0,,,,,,,15.546719853724214,9.246109276559377,0.0
2024-01-28T22:00:00+00:00,112,3428,3429,5.0,3.0,0.0,,,,,,,0.0,,,,,,,5.971235291805538,7.993253680588563,0.0
2024-01-28T23:10:00+00:00,32,628,634,6.0,3.0,0.9659363289248456,2.0,5.0,4.0,5.0,0.0,0.0,0.0,,,,,,,16.546719853724213,9.049930861426013,0.0
2024-01-29T01:00:00+00:00,112,3430,3431,7.0,1.0,0.0,,,,,,,0.0,,,,,,,6.931083931056581,7.99422141717025,0.0
2024-01-29T01:20:00+00:00,32,633,630,4.0,4.0,0.9548416039104165,1.0,3.0,8.0,8.0,0.0,0.0,0.0,,,,,,,17.445658183974533,9.047085266246842,0.0
2024-01-29T19:30:00+00:00,44,28,46,2.0,2.0,0.71946679000541,6.0,4.999999999999999,4.999999999999999,8.999999999999998,0.0,0.0,1.4891676304314438,5.225856131439682,4.408618710479893,5.634474841919575,9.634474841919575,0.0,0.0,41.36659254268117,11.357022309391219,0.0
2024-01-29T20:00:00+00:00,112,3432,3433,4.0,5.0,0.0,,,,,,,0.0,,,,,,,7.931083931056581,7.994950016549601,0.0
2024-01-30T21:00:00+00:00,32,620,629,7.0,3.0,0.9771599684342459,7.0,6.0,3.0,3.0,0.0,0.0,0.9493421209505192,2.0,11.000000000000002,1.0,3.0,0.0,0.0,18.33941901042845,8.990319318629068,0.0
2024-01-30T23:15:00+00:00,32,623,627,3.0,5.0,0.9715319411536059,4.999999999999999,4.0,4.999999999999999,9.0,0.0,0.0,0.9438743126816935,4.0,8.0,4.0,4.999999999999999,0.0,0.0,19.33941901042845,9.04252774747724,0.0
2024-01-31T01:30:00+00:00,32,636,639,1.0,6.0,0.9771599684342459,3.0,3.0,6.0,4.0,0.0,0.0,0.9548416039104165,0.0,4.0,1.0,4.999999999999999,0.0,0.0,20.22227257713106,8.991271231893254,0.0
2024-01-31T21:00:00+00:00,32,622,638,14.0,3.0,1.9263735450640223,2.9913358770494147,2.5216603073764627,2.0086641229505853,4.991335877049416,0.0,0.0,0.0,,,,,,,21.22227257713106,8.89744192003911,0.0
